291327;;Новосибирск;;ул. Галущака, д.2а;ТОЦ "Олимпия", оф. 105;0
332938;;Санкт-Петербург;;ул. Лиговский пр, д.50 корп.12;;0
332483;;Белгород;;ул. Попова, д.76а;;0
332590;;Иваново / Ивановская область;;ул. Лежневская, д.109;;0
332605;;Калуга / Калужская область;;ул. Тульская, д.13Б;;0
332606;;Калуга / Калужская область;;ул. Салтыкова-Щедрина, д.76;;0
332703;;Кострома;;ул. Осыпная, д.4;оф. 23;0
332615;;Курск;;ул. Запольная, д.56;;0
332616;;Липецк;;ул. Пл. Петра Великого, д.5;оф. 05;0
332896;;Орел;;ул. Степана Разина, д.12;оф. 12;0
332933;;Рязань;;ул. Татарская, д.13;;0
332949;;Смоленск;;ул. Тенишевой, д.22;оф. 11;0
333007;;Тамбов;;ул. Моршанское Шоссе, д.17Г;;0
333008;;Тверь;;ул. Афанасия Никитина наб, д.72;оф. 105;0
333009;;Тверь;;ул. Жигарева, д.7;1-ый подъезд;0
333051;;Тула;;ул. Первомайская, д.2;;0
333069;;Ярославль;;ул. Большая Октябрьская, д.39/2;;0
332915;;Петрозаводск;;ул. Дзержинского, д.3;оф. 15;0
333005;;Сыктывкар;;ул. Гаражная, д.9;оф. 106;0
332478;;Архангельск;;ул. Советских космонавтов, д.126;оф. 22;0
332511;;Вологда;;ул. Лермонтова, д.5;оф 1, 2;0
332603;;Калининград;;ул. Переулок Ганзейский, д.6;;0
332830;;Мурманск;;ул. Володарского, д.7;;0
332485;;Великий Новгород;;ул. Большая Санкт-Петербуржская, д.39 стр.14;оф. 1;0
332920;;Псков;;ул. Льва Толстого, д.3;оф. 1014 (вход со двора);0
332747;;Нальчик;;ул. Темрюка Идарова, д.129;;0
332706;;Краснодар;;ул. Новорассийская, д.174;;0
332937;;Ставрополь;;ул. Доваторцев, д.30б;;0
332479;;Астрахань;;ул. Богдана Хмельницкого, д.43;;0
332508;;Волгоград;;ул. Чуйкова, д.55;;0
332924;;Ростов-на-Дону;;ул. Ленина, д.221/20;;0
332600;;Йошкар-Ола;;ул. Пролетарская, д.39;оф. 2;0
332941;;Саранск;;ул. Степана Разина, д.46;;0
332602;;Казань;;ул. Сибирский тракт, д.34 корп.4;оф. 344, 343;0
332591;;Ижевск;;ул. 10 лет Октября, д.32;;0
333075;;Чебоксары;;ул. Ильбекова, д.4;оф. 202;0
332700;;Киров / Кировская область;;ул. Октябрьский проспект, д.114;;0
332755;;Нижний Новгород;;ул. Норильская, д.6;;0
332899;;Оренбург;;ул. Восточная, д.42/6;;0
332912;;Пенза;;ул. Суворова, д.111А;оф. 109;0
332914;;Пермь;;ул. Пушкина, д.116Б;;0
332936;;Самара;;ул. Гая, д.6;;0
332614;;Курган;;ул. Сибирская, д.8 стр.1;;0
332588;;Екатеринбург;;ул. Малышева, д.145 корп.12Б;;0
333052;;Тюмень;;ул. Дзержинского, д.15;оф. 103;0
333076;;Челябинск;;ул. Проспект Ленина, д.15;;0
333067;;Ханты-Мансийск;;ул. Мира, д.51;оф. 1022;0
298760;;Красноярск;;ул. Сурикова, д.12;ПВЗ СДЭК;0
298762;;Красноярск;;ул. Шахтеров, д.49ж/4 стр.№3;Енисейский рынок. ПВЗ СДЭК;0
332599;;Иркутск;;ул. Ядринцева, д.1/2;оф. 2;0
298789;;Кемерово;;ул. Мичурина, д.43;офис 4. ПВЗ СДЭК;0
332607;;Кемерово;;ул. Пролетарская, д.24;;0
283532;;Новосибирск;;ул. Кривощековская, д.15 корп.3;СДЭК;0
283533;;Новосибирск;;ул. Ленина, д.1;СДЭК, ТЦ Аркада (ст. метро "Площадь Ленина");0
332770;;Новосибирск;;ул. Площадь Карла Маркса, д.5;ТЦ "Гранит", оф.2 этаж;0
298791;;Омск;;ул. Сенная, д.34;ПВЗ СДЭК;0
298766;;Томск;;ул. Енисейская, д.37;офис 104,105 ПВЗ СДЭК;0
333079;;Чита;;ул. Богомягкова, д.53;оф. 3;0
333070;;Якутск;;ул. Курашова, д.19;оф. 4;0
332502;;Владивосток;;ул. Пушкинская, д.52;;0
332504;;Владивосток;;ул. Давыдова, д.22а;;0
333066;;Хабаровск;;ул. Карла Маркса, д.158А;;0
332739;;Благовещенск / Амурская область;;ул. 50 лет Октября, д.94;;0
332916;;Петропавловск-Камчатский;;ул. Бохняка, д.18;;0
332618;;Магадан;;ул. Кольцевая, д.3;;0
333084;;Южно-Сахалинск;;ул. Пр-т Мира, д.95;оф. 25;0
332476;;Алматы;;ул. Шевченко, д.118;оф. 127;0
333064;;Уфа;;ул. Менделеева, д.140/1;;0
332484;;Брянск;;ул. Трудовая, д.5;;0
332505;;Владимир;;ул. Ленина, д.15а;оф. 119;0
332512;;Воронеж / Воронежская область;;ул. Проспект Труда, д.67В;;0
332944;;Саратов;;ул. проспект 50-Летия Октября, д.110А корп.8;оф. 307;0
333054;;Ульяновск;;ул. Карла Маркса, д.20;оф. 1;0
333055;;Ульяновск;;ул. Садовая, д.2;оф. 23А;0
298767;;Барнаул;;ул. проспект Строителей, д.29;СДЭК;0
333053;;Улан-Удэ;;ул. Советская, д.28;оф. 233;0
332742;;Москва;;ул. Сергия Радонежского, д.31;ст.метро "Площадь Ильича";0
332744;;Москва;;ул. Авиамоторная, д.69;;0
332745;;Москва;;ул. Сколковское шоссе, д.31 стр.2;;0
332746;;Москва;;ул. Ленинградский пр-т, д.2;;0
332743;;Дубна / Москва и Московская область;;ул. Проспект Боголюбова, д.16А;;0
332625;;Магнитогорск;;ул. Менделеева, д.1;;0
298790;;Новокузнецк;;ул. Проезд курбатова, д.1а;офис 110. ПВЗ СДЭК;0
332872;;Новокузнецк;;ул. Проезд Курбатова, д.1а;оф. 110;0
332876;;Новокузнецк;;ул. Металлургов, д.38;;0
332771;;Новочеркасск;;ул. Пушкинская, д.20;;0
332953;;Сочи;;ул. Пластунская, д.47А;оф. 11;0
333010;;Тольятти;;ул. Тополяная, д.18А;;0
332893;;Обнинск;;ул. Королева, д.17;;0
333077;;Череповец;;ул. Советский проспект, д.4;;0
332877;;Новороссийск;;ул. Ленина, д.21;;0
333006;;Таганрог;;ул. Чехова, д.96;;0
332740;;Дзержинск / Нижегородская область;;ул. Терешковой, д.8;;0
333004;;Сургут;;ул. 30 лет Победы, д.44Б;оф. 110/1;0
332751;;Находка;;ул. Линейная, д.2А;;0
298792;;Бийск;;ул. Льва Толстого, д.141;офис 11. ПВЗ СДЭК;0
332753;;Нижневартовск;;ул. Маршала Жукова, д.5;оф. 105;0
332471;;Абакан;;ул. Чертыгашева, д.126Н;2 этаж, оф. 2.;0
333078;;Черкесск;;ул. Гутякулова, д.3;;0
333083;;Усть-Каменогорск;;ул. Протозанова, д.83;;0
332474;;Александров;;ул. Восстания 1905 года, д.2;;0
332486;;Видное;;ул. Донбасская, д.2;;0
332705;;Красногорск;;ул. Микрорайон теплый бетон, Оптический переулок, д.1А;;0
332617;;Люберцы;;ул. 3-ие почтовое отделение, д.76;;0
332831;;Мытищи;;ул. Колпакова, д.9/2;;0
332894;;Одинцово;;ул. Садовая, д.28А;;0
332917;;Подольск;;ул. Революционный пр-т, д.70;оф. 3;0
332948;;Серпухов;;ул. 1-ая Московская, д.9;;0
333068;;Химки;;ул. Горшина, д.2;;0
332926;;Рыбинск;;ул. пр-т Серова, д.1;;0
332585;;Гатчина;;ул. Проспект 25 Октября, д.10;;0
332952;;Сосновый Бор;;ул. пр. Героев, д.54А;оф. 5;0
332707;;Армавир / Краснодарский край;;ул. Новороссийская, д.2/4;оф. 207;0
332609;;Кисловодск;;ул. Есенина, д.16;;0
332629;;Минеральные Воды;;ул. 50 лет Октября, д.67;оф. 117;0
332922;;Пятигорск;;ул. Московская, д.68А;;0
332900;;Орск;;ул. Радостева, д.10;оф. 16;0
332752;;Нефтекамск;;ул. Ленина, д.8Б;;0
332935;;Салават;;ул. Нуриманова, д.20Л;;0
333081;;Стерлитамак;;ул. Коммунистическая, д.46;;0
332870;;Нижнекамск;;ул. Сквер Лемаева, д.8;оф. 101;0
332481;;Балаково;;ул. Проспект Героев, д.41;оф. 301;0
332711;;Димитровград / Ульяновская область;;ул. Промышленная, д.43;оф. 9;0
332710;;Златоуст;;ул. 5 мкр, ул. Южно-Есаульская, д.8;;0
332627;;Миасс;;ул. Лихачева, д.31;оф. 11;0
333080;;Надым;;ул. Полярная, д.2А;;0
332891;;Новый Уренгой;;ул. микрорайон Оптимистов, д.4/3;оф. 85;0
332626;;Междуреченск;;ул. Юности, д.10;оф. 220;0
332919;;Прокопьевск;;ул. Институтская, д.9а;оф. 21;0
332480;;Ачинск;;ул. 1-й Микрорайон, д.34;;0
332587;;Горно-Алтайск;;ул. Григория - Чорос - Гуркина, д.32;;0
